state,x,y
Alabama,142,-78
Alaska,-204,-170
Arizona,-200,-42
Arkansas,59,-50
California,-291,-4
Colorado,-112,25
Connecticut,301,94
Delaware,276,43
Florida,223,-146
Georgia,195,-80
Hawaii,-317,-143
Idaho,-210,114
Illinois,100,43
Indiana,136,43
Iowa,42,68
Kansas,-20,9
Kentucky,156,2
Louisiana,70,-124
Maine,321,175
Maryland,271,33
Massachusetts,311,113
Michigan,149,90
Minnesota,27,134
Mississippi,99,-101
Missouri,55,8
Montana,-141,162
Nebraska,-32,60
Nevada,-254,51
New Hampshire,302,135
New Jersey,291,63
New Mexico,-125,-49
New York,261,113
North Carolina,239,-17
North Dakota,-41,161
Ohio,187,53
Oklahoma,-6,-39
Oregon,-280,135
Pennsylvania,237,71
Rhode Island,315,98
South Carolina,224,-52
South Dakota,-43,110
Tennessee,133,-29
Texas,-29,-105
Utah,-189,34
Vermont,289,144
Virginia,242,18
Washington,-259,191
West Virginia,207,26
Wisconsin,80,123
Wyoming,-128,93